MONTH,DAY,Family,Family,Family
January,5,Bishopric,,
,12,Watt,Is,Work?
,19,X-ray,Yankee,Zulu
,26,Yagi,Antennas,Aredirectional
February,2,High Priests,,
,9,Zener,Diodes,Avalanche
,16,Raspberry,Banana,Pi
,23,Arduino,Makeslearning,Fun
March,2,Elders Quorum,,
,9,Potentiometer,Rheostat,Variableresistor
,16,Electric,Skateboards,Zoom
,23,Don’t,Overcharge,LiPos
,30,Battery,Breadboard,Boondogle
April,6,Young Men,,
,13,Doherty,Dohertsby,Dohertsworth
,20,Capacitor,von Kleist,
,27,Diode,Ambrose-Fleming,
May,4,Young Women,,
,11,Electronics,Electronics,Engineers
,18,Frequency,Hertz,
,25,Ground,Goober,
June,1,Relief Society,,
,8,Heinrich,Integrated,
,15,Circuit,Intensity,
,22,Joule,James,Juniper
,29,Kit,Kite,Kitten
July,6,Sunday School,,
,13,LED,Light-emitting,Diode
,20,Mosfet,Thecat,
,27,Noise,Ohm,Resistance
August,3,Ward Mission,,
,10,Printed,Circuit,Board
,17,Quartz,Crystal,Oscillator
,24,Resistor,Impedance,Reactance
,31,Elders Quorum,,
September,7,Soldering,Iron,Doyouworkout?
,14,Transistor,Zistor,Sister
,21,Universal,Serial,Bus
,28,Volts,Voltage,Volta
October,5,YM/YW,,
,12,Watt,Is,Work?
,19,X-ray,Yankee,Zulu
,26,Yagi,Antennas,Aredirectional
November,2,Relief Society/SS/Ward Mission,,
,9,Zener,Diodes,Avalanche
,16,Raspberry,Banana,Pi
,23,Arduino,Makeslearning,Fun
,30,Bishopric,,
December,7,Potentiometer,Rheostat,Variableresistor
,14,Electric,Skateboards,Zoom
,21,Don’t,Overcharge,LiPos
,28,Flying,RC,Planes
